127.0.0.1 - - [24/Mar/2017:21:00:32 -0300] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:06 -0300] "GET /PedidoVenda/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:06 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:06 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:27 -0300] "GET /PedidoVenda/Login.xhtml HTTP/1.1" 200 3456
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:27 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:27 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:27 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:27 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:27 -0300] "GET /PedidoVenda/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:27 -0300] "GET /PedidoVenda/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:27 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:27 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:28 -0300] "GET /PedidoVenda/Login.xhtml HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:28 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:28 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:28 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:28 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:28 -0300] "GET /PedidoVenda/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:28 -0300] "GET /PedidoVenda/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:28 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:28 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:28 -0300] "GET /PedidoVenda/Login.xhtml HTTP/1.1" 200 3455
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:28 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:29 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:29 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:29 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:29 -0300] "GET /PedidoVenda/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:29 -0300] "GET /PedidoVenda/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:29 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:29 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:29 -0300] "GET /PedidoVenda/Login.xhtml HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:29 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:29 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:29 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:29 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:29 -0300] "GET /PedidoVenda/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:29 -0300] "GET /PedidoVenda/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:29 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:29 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:33 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:33 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24440
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:33 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:07:33 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 75458
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:30:02 -0300] "GET /PedidoVenda/Login.xhtml HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:30:02 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:30:02 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:30:02 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:30:02 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:30:02 -0300] "GET /PedidoVenda/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:30:02 -0300] "GET /PedidoVenda/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:30:02 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:30:02 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:59:28 -0300] "GET /PedidoVenda/produtos/CadastroProduto.xhtml HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:00:10 -0300] "GET /PedidoVenda/produtos/CadastroProduto.xhtml HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:00:10 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:00:10 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:00:10 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:00:10 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:00:10 -0300] "GET /PedidoVenda/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:00:10 -0300] "GET /PedidoVenda/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:00:10 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:00:10 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:00:40 -0300] "GET /PedidoVenda/produtos/CadastroProduto.xhtml HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:00:42 -0300] "GET /PedidoVenda/produtos/CadastroProduto.xhtml HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:00:44 -0300] "POST /PedidoVenda/produtos/CadastroProduto.xhtml HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:00:47 -0300] "GET /PedidoVenda/produtos/CadastroProduto.xhtml HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:00:49 -0300] "GET /PedidoVenda/produtos/CadastroProduto.xhtml HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:03:53 -0300] "GET /PedidoVenda/produtos/CadastroProduto.xhtml HTTP/1.1" 200 3611
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:03:53 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:03:53 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:03:53 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:03:53 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:03:53 -0300] "GET /PedidoVenda/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:03:53 -0300] "GET /PedidoVenda/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:03:53 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:03:53 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:05:27 -0300] "GET /PedidoVenda/produtos/CadastroProduto.xhtml HTTP/1.1" 200 3649
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:05:27 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:22:05:27 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
